Name;Firma2;Straße;PLZ;Ort;Land;Telefon;Fax;Produkte;Kategorie;Kategorie;Kategorie;;Hallenname
A-Team mit Herz;Inh. Sascha Gierse;Lerchenring 5;86754;Munningen;;09082 911061;09082 9679381;Informationsstand über Haushaltsservice und Hausmeisterservice;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle H
ABC Getränke;;Obere Str. 13;86554;Pöttmes;;08276/5199851;08276/5199850;Getränke ;Nahrungs- und Genussmittel;;;;Halle D
Abel + Ruf GmbH;;Rosenstr. 10;86609;Donauwörth;;0906 7807-44;0906 7807-7744;Mercedes-Benz und smart Fahrzeuge ;Auto, Autozubehör, Autopflege, Autohaus;;;;Freigelände
Abfall-Wirtschafts-Verband - AWV;Nordschwaben;Weidenweg 1;86609;Donauwörth;;0906/7803-11;0906/7803-99;Informationsstand, Preisausschreiben ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle F
ADAC - Vertriebsagentur;H. Unterländer GmbH;Stefan-George-Ring 29;81929;München;;089/99249260;089/99249261;Informationsstand, Automobilclub ;Informationsstände, Dienstleistungen, Sonderschau;Auto, Autozubehör, Autopflege, Autohaus;;;Halle H
AMC;Werner Ahamer;Am Anger 10;91550;Dinkelsbühl;;09851/554265;09851/554267;AMC-Produkte ;Haushaltsgeräte, Haushaltswaren;;;;Halle H
Amt für Ernährung, Landwirtschaft;und Forsten Nördlingen;Oskar-Mayer-Str. 51;86720;Nördlingen;;09081 2106-0;09081 2106-55;"Informationsstand ""Erhaltung der Artenvielfalt""";Informationsstände, Dienstleistungen, Sonderschau;;;;Halle C
Amway Ewald und Renate Beck;;Untermagerbein 9;86751;Mönchsdeggingen;;09088/920190;09088 920191;Trinkwasserfilter, Luftfilter, Ernährungprogramm, Nahrungsergänzungen,;Nahrungs- und Genussmittel;Wasserenthärtung und -aufbereitung;;;Halle G
AOK Bayern - Die Gesundheitskasse;Direktion Donauwörth;Obermayerstr. 6;86609;Donauwörth;;0906 76-139;0906 76-147;Informationsstand, Krankenversicherung ;Gesundheit, Medizin, Pflege;Informationsstände, Dienstleistungen, Sonderschau;;;Halle G
Arbeiter-Samariter-Bund;RV Dillingen-Donau-Ries e.V.;Badgasse 7;86637;Wertingen;;08272 6091012;08272 6091014;Informationsstand, Gewinnspiel, Hausnot- rufgerät, Defibrilator, soziale Dienste;Gesundheit, Medizin, Pflege;;;;Halle G
as Büro- und;Objekteinrichtung GmbH;An der Lach 3;86720;Nördlingen;;09081 27533 0;09081 27533 29;div. Einrichtungsmobiliar ;Möbel, Küchen;;;;Halle G
August Thomas;Jemako;Binsengassse 2;86754;Munningen;;09082/9133054;;Reinigungsmittel, Tücher Standbesetzung vom 04. bis 06. Oktober;Bekleidung, Pelze, Leder;Reinigungsgeräte und -mittel;;;Halle E
AVS - Taglieber GmbH;Architekturbüro;Nittingen 8 a;86732;Oettingen;;09082 961050;09082 9610525;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Altbau, Modernisierung;Bauen, Ausbau, Fertighäuser, Immobilien;;Halle B
AWV - Abfallwirtschaftsverband;Nordschwaben;Weidenweg 1;86609;Donauwörth;;0906/7803-11;0906/7803-99;Informationsstand, Preisausschreiben ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle F
balanceSoul  Mayr;;Westenstr.2;86703;Rögling;;0173/5784833;;Bemer Physikalische Gefäßtherapie, Standbesetzung am 02. + 03.10.2019;Gesundheit, Medizin, Pflege;;;;Halle A
"Barockpferdecentrum ""Reitstall Petra""";;Oettinger Str. 10;86720;Nördlingen;;09081 4584;09081 805289;Informationsstand, Popkorn Verkauf, Glücksrad;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
TSV 1861 Nördlingen e.V.;Basketballabteilung;Deiningerstr.3;86720;Nördlingen;;09081 3019945;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Bau-Innung Nordschwaben;;Kerschensteinerstr. 35;86720;Nördlingen;;09081-2597-0;09081-2597-25;Informationsstand, Innungs- und Lehrlingswerbung;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle B
Bauelemente Hamm;;Ziegelstr. 11;89518;Heidenheim;;0171 2839476;;Spezialreiniger, Schaum macht's möglich ;Reinigungsgeräte und -mittel;;;;Halle F
Bauer Bauelemente GmbH & Co. KG;;Am Mittelfeld 65 d;89407;Dillingen;;09071 9818;09071 7058240;Fassaden-Dachsysteme, WPC-Terrassendielen;Dächer, Dachumdeckungen, Dacheindeckungen, Fassaden;Gartengeräte, Gartengestaltung, Gartenbedarf;;;Halle H
Baur - Malerbetrieb;;Mühlstr. 7;86732;Oettingen;;09082 7029713;;Informationsstand ;Raumausstattung;Bauen, Ausbau, Fertighäuser, Immobilien;;;Halle K
Bayer. Bauernverband;Geschäftsstelle Donauwörth;Am Stillflecken 30;86609;Donauwörth;;0906/70646-0;0906/70646-20;Schweinemobil Tierzelt;Tierschauen, Tierbedarf;;;;Halle T, Freigelände
Bayerische Sportjugend BSJ;im BLSV e.V.;Georg-Brauchle-Ring 93;80992;München;;;;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
BDKJ Diözesanverband Augsburg;;Kitzenmarkt 20;86150;Augsburg;;;;Riesen-Yenga - Das Gesellschaftsspiel ;Informationsstände, Dienstleistungen, Sonderschau;;;;Halle J
Beck Erwald Amway;;Untermagerbein 9;86751;Mönchsdeggingen;;09088/920190;09088 920191;Trinkwasserfilter,Luftfilter,Ernährungs- programm, Nahrungsergänzungen,;Nahrungs- und Genussmittel;Wasserenthärtung und -aufbereitung;;;Halle G
Bezirkskrankenhaus Donauwörth;;Neudegger Allee 6;86609;Donauwörth;;0906/782-2202;0906/782-2206;in Ergotherapie gefertigte Gegenstände, Gedächtnisübungen, Alkoholmessung;Gesundheit, Medizin, Pflege;Informationsstände, Dienstleistungen, Sonderschau;;;Halle G
Bissinger Auerquelle;W. Hörhammer GmbH & Co. KG;Auerweg 1;86657;Bissingen;;09084/210;09084/1349;alkoholfreie Getränke ;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;;;;Halle G
Bissinger Gartengestaltung;;Bachweg 9;86753;Möttingen;;0163 8648829;;Gartengestaltung ;Gartengeräte, Gartengestaltung, Gartenbedarf;;;;Halle M
Bittner Frank e. K.;;Munninger Str. 12 1/2;86732;Oettingen;;09082/1492;09082/1259;Kachelöfen, Heizkamine, Kamin- Pellet- ofen, Küchenherd, Heizeinsätze,;Kamine, Kachelöfen;;;;Halle K
Bittner Friedrich;Fliesen - Kachelöfen;Schloßstr. 44;86732;Oettingen;;09082/90100;09082/90138;Kaminöfen, Kachelofen ;Kamine, Kachelöfen;;;;Halle K
Böhm Entsorgungs GmbH;;Ulmer Str. 5;86720;Nördlingen;;09081 290860;09081 2908619;Containerbar, Kinderspiele, versch. Recyclingmateralien;Nahrungs- und Genussmittel;Verschiedenes;;;Halle M
Bohner Hans GmbH & Co. KG;Eisen- und Sanitärgroßhandel;Am Steinerbach 2;86732;Oettingen;;09082/72-135;09082/72-152;Anhänger, Arbeitsschutz, Speicher, Wärmepumpen, Bauelemente ;Bauen, Ausbau, Fertighäuser, Immobilien;Energietechnik, Energieversorgung;;;Halle K, Freigelände
Boko Marc - Vertrieb;Pur Premium;Mahlastr. 16 b;67227;Frankenthal;;0152 53969248;;PUR Classic Antibeschlag & Antistatik ;Reinigungsgeräte und -mittel;;;;Halle H
Boos Birgit u. Erwin GBR;Jemako;Ringstr.18;86748;Marktoffingen;;09087/920380;;Jemako Ware Standbesetzung vom 02. bis 03.10. 2019;Reinigungsgeräte und -mittel;Bekleidung, Pelze, Leder;;;Halle E
Brennerei Donare;;Schloss 2;86733;Alerheim;;09085 9206-39;09085 9206-43;Schnäpse ;Nahrungs- und Genussmittel;;;;Halle D
Bretzger Schreinerei;Holz und Mehr;Am Riedweg 2;86757;Ehringen;;09081/2906376;09081/2906377;Türen ;Fenster und Türen;;;;Halle S
