Name;Produkte;Kategorie;Halle
A-Team mit Herz;Informationsstand über Haushaltsservice und Hausmeisterservice;Informationsstände, Dienstleistungen, Sonderschau;Halle H
ABC Getränke;Getränke ;Nahrungs- und Genussmittel;Halle D
Abel + Ruf GmbH;Mercedes-Benz und smart Fahrzeuge ;Auto, Autozubehör, Autopflege, Autohaus;Freigelände
Abfall-Wirtschafts-Verband - AWV;Informationsstand, Preisausschreiben ;Informationsstände, Dienstleistungen, Sonderschau;Halle F
ADAC - Vertriebsagentur;Informationsstand, Automobilclub ;Informationsstände, Dienstleistungen, Sonderschau;Halle H
AMC;AMC-Produkte ;Haushaltsgeräte, Haushaltswaren;Halle H
Amt für Ernährung, Landwirtschaft;"Informationsstand ""Erhaltung der Artenvielfalt""";Informationsstände, Dienstleistungen, Sonderschau;Halle C
Amway Ewald und Renate Beck;Trinkwasserfilter, Luftfilter, Ernährungprogramm, Nahrungsergänzungen,;Nahrungs- und Genussmittel;Halle G
AOK Bayern - Die Gesundheitskasse;Informationsstand, Krankenversicherung ;Gesundheit, Medizin, Pflege;Halle G
Arbeiter-Samariter-Bund;Informationsstand, Gewinnspiel, Hausnot- rufgerät, Defibrilator, soziale Dienste;Gesundheit, Medizin, Pflege;Halle G
as Büro- und;div. Einrichtungsmobiliar ;Möbel, Küchen;Halle G
August Thomas;Reinigungsmittel, Tücher Standbesetzung vom 04. bis 06. Oktober;Bekleidung, Pelze, Leder;Halle E
AVS - Taglieber GmbH;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle B
AWV - Abfallwirtschaftsverband;Informationsstand, Preisausschreiben ;Informationsstände, Dienstleistungen, Sonderschau;Halle F
balanceSoul  Mayr;Bemer Physikalische Gefäßtherapie, Standbesetzung am 02. + 03.10.2019;Gesundheit, Medizin, Pflege;Halle A
"Barockpferdecentrum ""Reitstall Petra""";Informationsstand, Popkorn Verkauf, Glücksrad;Informationsstände, Dienstleistungen, Sonderschau;Halle J
TSV 1861 Nördlingen e.V.;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle J
Bau-Innung Nordschwaben;Informationsstand, Innungs- und Lehrlingswerbung;Informationsstände, Dienstleistungen, Sonderschau;Halle B
Bauelemente Hamm;Spezialreiniger, Schaum macht's möglich ;Reinigungsgeräte und -mittel;Halle F
Bauer Bauelemente GmbH & Co. KG;Fassaden-Dachsysteme, WPC-Terrassendielen;Dächer, Dachumdeckungen, Dacheindeckungen, Fassaden;Halle H
Baur - Malerbetrieb;Informationsstand ;Raumausstattung;Halle K
Bayer. Bauernverband;Schweinemobil Tierzelt;Tierschauen, Tierbedarf;Halle T, Freigelände
Bayerische Sportjugend BSJ;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle J
BDKJ Diözesanverband Augsburg;Riesen-Yenga - Das Gesellschaftsspiel ;Informationsstände, Dienstleistungen, Sonderschau;Halle J
Beck Erwald Amway;Trinkwasserfilter,Luftfilter,Ernährungs- programm, Nahrungsergänzungen,;Nahrungs- und Genussmittel;Halle G
Bezirkskrankenhaus Donauwörth;in Ergotherapie gefertigte Gegenstände, Gedächtnisübungen, Alkoholmessung;Gesundheit, Medizin, Pflege;Halle G
Bissinger Auerquelle;alkoholfreie Getränke ;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;Halle G
Bissinger Gartengestaltung;Gartengestaltung ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle M
Bittner Frank e. K.;Kachelöfen, Heizkamine, Kamin- Pellet- ofen, Küchenherd, Heizeinsätze,;Kamine, Kachelöfen;Halle K
Bittner Friedrich;Kaminöfen, Kachelofen ;Kamine, Kachelöfen;Halle K
Böhm Entsorgungs GmbH;Containerbar, Kinderspiele, versch. Recyclingmateralien;Nahrungs- und Genussmittel;Halle M
Bohner Hans GmbH & Co. KG;Anhänger, Arbeitsschutz, Speicher, Wärmepumpen, Bauelemente ;Bauen, Ausbau, Fertighäuser, Immobilien;Halle K, Freigelände
Boko Marc - Vertrieb;PUR Classic Antibeschlag & Antistatik ;Reinigungsgeräte und -mittel;Halle H
Boos Birgit u. Erwin GBR;Jemako Ware Standbesetzung vom 02. bis 03.10. 2019;Reinigungsgeräte und -mittel;Halle E
Brennerei Donare;Schnäpse ;Nahrungs- und Genussmittel;Halle D
Bretzger Schreinerei;Türen ;Fenster und Türen;Halle S
BRSG;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle J
BS - Kamine & Bau;Öfen, Kamine ;Kamine, Kachelöfen;Freigelände
Büchler Albert;Holztreppen ;Altbau, Modernisierung;Halle S
Bundeswehr;Messestand der Bundeswehr mit Exponaten, Fahrzeuge der Bundeswehr ;Informationsstände, Dienstleistungen, Sonderschau;Halle F, Freigelände
Bundeswehr - Karriereberatung;Messestand der Bundeswehr mit Exponaten, Fahrzeuge der Bundeswehr ;Informationsstände, Dienstleistungen, Sonderschau;Halle F, Freigelände
Bündnis 90/ Die grünen Donau-Ries;Informationsstand, Glücksrad ;Informationsstände, Dienstleistungen, Sonderschau;Halle A
Casada Deutschland GmbH;PowerBoard, Vibrationshanteln, PowerBand, ReflexPad, PowerPodest;Fitness, Gesundheit;Halle H
CBDproHanf UG (haftungsbeschränkt);CBD Öl, Hanfzahncreme, CBD Kapseln, CBD Tee, CBD Kaugummi ...;Nahrungs- und Genussmittel;Halle A
Club der Köche Donau-Ries e. V.;Schaukochen mit Küchenmeister Uli Großmann Informationsstand;Informationsstände, Dienstleistungen, Sonderschau;Halle D
CSU-Kreisverband Donau-Ries e. V.;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle A
Czeschner Schreinerei GmbH & Co. KG;Informationsstand, Möbel ;Möbel, Küchen;Halle S
DEESSE Kosmetikberatung;Kosmetikprodukte ;Mode, Beauty, Kosmetik;Halle G
Deutsche Seniorenwerbung GmbH;Informationsstand, Glückstüte® ;Informationsstände, Dienstleistungen, Sonderschau;Halle G
Deutsche Strategie Beratung GmbH;Informationen zum Immobilienverkauf ;Bauen, Ausbau, Fertighäuser, Immobilien;Halle E
Deutscher Alpenverein e. V.;Flechten von Survival-Armbändern aus Paracord 2.10. Nachmittag + 3.10. ganzt., 5. + 6.10. ganzt.;Informationsstände, Dienstleistungen, Sonderschau;Halle J
Diakoneo Offene Hilfen;Memory und Tischtennistorwand 04.10.;Informationsstände, Dienstleistungen, Sonderschau;Halle J
DOMUS-SANA;Dampfsauger f. Haushalt u. Gewerbe m. u. o. Chemie, Staubsauger m. Wasserfilter;Maschinen und Werkzeuge;Halle H
Donau-Ries Kliniken;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle G
